Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score,Metric Value
"(3, 6, 7, 8, 10)",0.9376111030578612,0.9394999742507936,0.9090909361839294,1.0,0.6666666666666666,0.8,0.8
"(3, 6, 7, 8, 11)",0.9469444155693054,0.949999988079071,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909092,0.9090909090909092
"(3, 6, 7, 8, 12)",0.9491666555404663,0.9496999979019165,0.24242424964904785,0.9166666666666666,0.18333333333333332,0.3055555555555556,0.3055555555555556
"(3, 6, 8, 9, 10)",0.9323889017105104,0.9332000017166138,0.9545454382896424,1.0,0.8,0.888888888888889,0.888888888888889
"(3, 6, 8, 9, 11)",0.9503889083862305,0.9503999948501587,0.939393937587738,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
"(3, 6, 8, 9, 12)",0.9492777585983276,0.9495999813079834,0.3787878751754761,0.9166666666666666,0.2156862745098039,0.3492063492063492,0.3492063492063492
"(3, 6, 8, 10, 11)",0.9462222456932068,0.9501000046730042,0.9696969985961914,0.8333333333333334,1.0,0.9090909090909092,0.9090909090909092
"(3, 6, 8, 10, 12)",0.9366111159324646,0.9398999810218811,0.27272728085517883,0.9166666666666666,0.1896551724137931,0.31428571428571433,0.31428571428571433
"(3, 6, 8, 11, 12)",0.9470555782318116,0.9501000046730042,0.7878788113594055,0.9166666666666666,0.4583333333333333,0.611111111111111,0.611111111111111
"(3, 7, 8, 9, 10)",0.9231666922569276,0.9264000058174132,0.9696969985961914,1.0,0.8571428571428571,0.923076923076923,0.923076923076923
"(3, 7, 8, 9, 11)",0.9509999752044678,0.9501000046730042,0.9545454382896423,0.9166666666666666,0.8461538461538461,0.8799999999999999,0.8799999999999999
"(3, 7, 8, 9, 12)",0.949222207069397,0.9498000144958496,0.25757575035095215,0.9166666666666666,0.1864406779661017,0.3098591549295775,0.3098591549295775
"(3, 7, 8, 10, 11)",0.9478333592414856,0.9490000009536744,0.9090909361839294,0.9166666666666666,0.6875,0.7857142857142857,0.7857142857142857
"(3, 7, 8, 10, 12)",0.9480000138282776,0.9490000009536743,0.27272728085517883,0.9166666666666666,0.1896551724137931,0.31428571428571433,0.31428571428571433
