Features Used,Validation Accuracy,Sim Test Accuracy,Real Test Accuracy,Real Test Completeness,Real Test Purity,F1 Score
"(2, 4, 12)",0.5006666779518127,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 4, 13)",0.5022777915000916,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 5, 6)",0.4975555539131164,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 5, 7)",0.8970000147819519,0.8966000080108643,0.739130437374115,0.8461538461538461,0.4074074074074074,0.5499999999999999
"(2, 5, 8)",0.9237777590751648,0.9244999885559082,0.6231883764266968,1.0,0.3333333333333333,0.5
"(2, 5, 9)",0.9276666641235352,0.9258999824523926,0.47826087474823,0.9230769230769232,0.2553191489361702,0.39999999999999997
"(2, 5, 10)",0.534166693687439,0.5331000089645386,0.5797101259231567,0.1538461538461538,0.1,0.12121212121212119
"(2, 5, 11)",0.9252777695655824,0.9222000241279602,0.739130437374115,0.7692307692307693,0.4,0.5263157894736842
"(2, 5, 12)",0.8001111149787903,0.7961999773979187,0.260869562625885,1.0,0.203125,0.33766233766233766
"(2, 5, 13)",0.8798333406448364,0.8762000203132629,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
"(2, 6, 7)",0.5009999871253967,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 6, 8)",0.9253888726234436,0.9243999719619752,0.6376811861991882,1.0,0.3421052631578947,0.5098039215686274
"(2, 6, 9)",0.9273889064788818,0.925599992275238,0.47826087474823,0.9230769230769232,0.2553191489361702,0.39999999999999997
"(2, 6, 10)",0.4924444556236267,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 6, 11)",0.5001111030578613,0.5,0.8115941882133484,0.0,0.0,0.0
"(2, 6, 12)",0.8131111264228821,0.8100000023841858,0.3333333432674408,1.0,0.2203389830508474,0.36111111111111105
"(2, 6, 13)",0.6794999837875366,0.6815999746322632,0.1884057968854904,1.0,0.1884057971014492,0.3170731707317072
